example_id,machine_id,machine_type,plant_area,shift,temperature_c,vibration_mm_s,pressure_bar,rpm,noise_db,oil_quality_pct,hours_since_service,error_code,technician_note,sensor_summary,machine_report,system_prompt,user_prompt,assistant_response,recommended_action,severity
ollama-ex-01199,CNC-1199,CNC mill,paint shop,afternoon,80.6,3.9,5.7,1150,69.2,73.0,275,INFO-145,"quality checks pass, though sensor values are moving away from baseline",early warning trend,"Machine CNC-1199 is a CNC mill in the paint shop area on the afternoon shift. Sensors report temperature 80.6 C, vibration 3.9 mm/s, pressure 5.7 bar, rpm 1150, noise 69.2 dB, oil quality 73.0 percent, and 275 hours since service. Error code: INFO-145. Operator note: quality checks pass, though sensor values are moving away from baseline. Summary: early warning trend.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-1199
Machine type: CNC mill
Plant area: paint shop
Shift: afternoon
Temperature C: 80.6
Vibration mm/s: 3.9
Pressure bar: 5.7
RPM: 1150
Noise dB: 69.2
Oil quality percent: 73.0
Hours since service: 275
Error code: INFO-145
Technician note: quality checks pass, though sensor values are moving away from baseline
Sensor summary: early warning trend","{""confidence"": 0.88, ""immediate_steps"": [""Keep the machine under observation."", ""Add the asset to the next maintenance window."", ""Compare current telemetry with the last three shift logs.""], ""maintenance_plan"": ""Schedule inspection during the next planned downtime and check alignment, guards, belts, and sensor calibration."", ""recommended_action"": ""schedule_inspection"", ""root_cause_hypothesis"": ""The warning pattern suggests degradation that should be checked before it becomes urgent."", ""safety_note"": ""If vibration or temperature rises sharply, stop the machine and reassess the risk."", ""severity"": ""medium""}",schedule_inspection,medium
ollama-ex-04281,WLD-4281,robotic welder,utilities,night,104.8,9.1,11.5,1843,107.8,21.2,771,CRIT-900,temperature and vibration crossed the shutdown threshold together,severe multi-sensor alarm,"Machine WLD-4281 is a robotic welder in the utilities area on the night shift. Sensors report temperature 104.8 C, vibration 9.1 mm/s, pressure 11.5 bar, rpm 1843, noise 107.8 dB, oil quality 21.2 percent, and 771 hours since service. Error code: CRIT-900. Operator note: temperature and vibration crossed the shutdown threshold together. Summary: severe multi-sensor alarm.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: WLD-4281
Machine type: robotic welder
Plant area: utilities
Shift: night
Temperature C: 104.8
Vibration mm/s: 9.1
Pressure bar: 11.5
RPM: 1843
Noise dB: 107.8
Oil quality percent: 21.2
Hours since service: 771
Error code: CRIT-900
Technician note: temperature and vibration crossed the shutdown threshold together
Sensor summary: severe multi-sensor alarm","{""confidence"": 0.95, ""immediate_steps"": [""Initiate emergency shutdown."", ""Do not restart the machine."", ""Preserve the alarm state for maintenance investigation.""], ""maintenance_plan"": ""Perform a full maintenance inspection and root-cause review before any restart is authorized."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The telemetry shows a high-risk failure mode that requires immediate shutdown."", ""safety_note"": ""Restart requires formal maintenance clearance and standard lockout/tagout controls."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-00287,PRS-0287,hydraulic press,paint shop,morning,48.5,2.4,6.4,1490,64.8,78.0,71,OK,all readings are stable and output quality is within tolerance,no maintenance action required,"Machine PRS-0287 is a hydraulic press in the paint shop area on the morning shift. Sensors report temperature 48.5 C, vibration 2.4 mm/s, pressure 6.4 bar, rpm 1490, noise 64.8 dB, oil quality 78.0 percent, and 71 hours since service. Error code: OK. Operator note: all readings are stable and output quality is within tolerance. Summary: no maintenance action required.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PRS-0287
Machine type: hydraulic press
Plant area: paint shop
Shift: morning
Temperature C: 48.5
Vibration mm/s: 2.4
Pressure bar: 6.4
RPM: 1490
Noise dB: 64.8
Oil quality percent: 78.0
Hours since service: 71
Error code: OK
Technician note: all readings are stable and output quality is within tolerance
Sensor summary: no maintenance action required","{""confidence"": 0.83, ""immediate_steps"": [""Continue normal production."", ""Record the reading in the shift log."", ""Recheck the machine during the next routine walk-around.""], ""maintenance_plan"": ""Continue standard monitoring and perform the next planned service on schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""The readings match normal operating baselines for this machine type."", ""safety_note"": ""Maintain normal guarding and lockout procedures during routine service."", ""severity"": ""low""}",normal_operation,low
ollama-ex-04370,CMP-4370,compressor,assembly,night,117.5,9.9,10.7,2057,96.5,8.1,451,OVERHEAT-999,temperature and vibration crossed the shutdown threshold together,critical unsafe condition,"Machine CMP-4370 is a compressor in the assembly area on the night shift. Sensors report temperature 117.5 C, vibration 9.9 mm/s, pressure 10.7 bar, rpm 2057, noise 96.5 dB, oil quality 8.1 percent, and 451 hours since service. Error code: OVERHEAT-999. Operator note: temperature and vibration crossed the shutdown threshold together. Summary: critical unsafe condition.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-4370
Machine type: compressor
Plant area: assembly
Shift: night
Temperature C: 117.5
Vibration mm/s: 9.9
Pressure bar: 10.7
RPM: 2057
Noise dB: 96.5
Oil quality percent: 8.1
Hours since service: 451
Error code: OVERHEAT-999
Technician note: temperature and vibration crossed the shutdown threshold together
Sensor summary: critical unsafe condition","{""confidence"": 0.96, ""immediate_steps"": [""Initiate emergency shutdown."", ""Do not restart the machine."", ""Preserve the alarm state for maintenance investigation.""], ""maintenance_plan"": ""Lock out the machine, inspect the drive, bearings, cooling path, and controls, then approve restart only after corrective action."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The combination of overheat, severe vibration, and alarm code indicates an unsafe condition."", ""safety_note"": ""Do not attempt to continue production under a critical alarm."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-01900,PKG-1900,packaging line,fabrication,night,92.2,5.4,7.0,1541,80.7,64.1,175,LOAD-330,elevated temperature appears during long continuous batches,stress pattern during peak operation,"Machine PKG-1900 is a packaging line in the fabrication area on the night shift. Sensors report temperature 92.2 C, vibration 5.4 mm/s, pressure 7.0 bar, rpm 1541, noise 80.7 dB, oil quality 64.1 percent, and 175 hours since service. Error code: LOAD-330. Operator note: elevated temperature appears during long continuous batches. Summary: stress pattern during peak operation.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PKG-1900
Machine type: packaging line
Plant area: fabrication
Shift: night
Temperature C: 92.2
Vibration mm/s: 5.4
Pressure bar: 7.0
RPM: 1541
Noise dB: 80.7
Oil quality percent: 64.1
Hours since service: 175
Error code: LOAD-330
Technician note: elevated temperature appears during long continuous batches
Sensor summary: stress pattern during peak operation","{""confidence"": 0.91, ""immediate_steps"": [""Reduce feed rate or duty cycle immediately."", ""Monitor temperature for the next 15 minutes."", ""Notify the shift lead if temperature does not trend down.""], ""maintenance_plan"": ""Review production settings, cooling performance, and lubrication before returning to peak throughput."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
ollama-ex-02916,OVN-2916,thermal oven,fabrication,morning,66.1,3.0,3.6,1127,72.4,54.1,503,FILTER-420,airflow recovered briefly after tapping the filter housing,restricted filter flow,"Machine OVN-2916 is a thermal oven in the fabrication area on the morning shift. Sensors report temperature 66.1 C, vibration 3.0 mm/s, pressure 3.6 bar, rpm 1127, noise 72.4 dB, oil quality 54.1 percent, and 503 hours since service. Error code: FILTER-420. Operator note: airflow recovered briefly after tapping the filter housing. Summary: restricted filter flow.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: OVN-2916
Machine type: thermal oven
Plant area: fabrication
Shift: morning
Temperature C: 66.1
Vibration mm/s: 3.0
Pressure bar: 3.6
RPM: 1127
Noise dB: 72.4
Oil quality percent: 54.1
Hours since service: 503
Error code: FILTER-420
Technician note: airflow recovered briefly after tapping the filter housing
Sensor summary: restricted filter flow","{""confidence"": 0.9, ""immediate_steps"": [""Check upstream flow and pressure readings."", ""Confirm the filter part number."", ""Replace the filter at the next safe stop.""], ""maintenance_plan"": ""Replace the filter, inspect the housing seal, and verify that pressure returns to the normal range."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""The telemetry suggests the intake filter is limiting flow through the machine."", ""safety_note"": ""Do not bypass the filter interlock to keep production running."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-00592,CNC-0592,CNC mill,assembly,night,50.9,1.0,5.4,1423,61.9,78.0,72,OK,routine production is continuing with no abnormal sound reported,normal production behavior,"Machine CNC-0592 is a CNC mill in the assembly area on the night shift. Sensors report temperature 50.9 C, vibration 1.0 mm/s, pressure 5.4 bar, rpm 1423, noise 61.9 dB, oil quality 78.0 percent, and 72 hours since service. Error code: OK. Operator note: routine production is continuing with no abnormal sound reported. Summary: normal production behavior.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-0592
Machine type: CNC mill
Plant area: assembly
Shift: night
Temperature C: 50.9
Vibration mm/s: 1.0
Pressure bar: 5.4
RPM: 1423
Noise dB: 61.9
Oil quality percent: 78.0
Hours since service: 72
Error code: OK
Technician note: routine production is continuing with no abnormal sound reported
Sensor summary: normal production behavior","{""confidence"": 0.93, ""immediate_steps"": [""Continue normal production."", ""Record the reading in the shift log."", ""Recheck the machine during the next routine walk-around.""], ""maintenance_plan"": ""No extra maintenance is required; keep the normal preventive maintenance schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""The readings match normal operating baselines for this machine type."", ""safety_note"": ""Maintain normal guarding and lockout procedures during routine service."", ""severity"": ""low""}",normal_operation,low
ollama-ex-01701,OVN-1701,thermal oven,assembly,night,84.6,5.0,8.1,1556,85.3,51.4,259,TEMP-410,machine recovers when the feed rate is lowered by the operator,temperature rising under load,"Machine OVN-1701 is a thermal oven in the assembly area on the night shift. Sensors report temperature 84.6 C, vibration 5.0 mm/s, pressure 8.1 bar, rpm 1556, noise 85.3 dB, oil quality 51.4 percent, and 259 hours since service. Error code: TEMP-410. Operator note: machine recovers when the feed rate is lowered by the operator. Summary: temperature rising under load.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: OVN-1701
Machine type: thermal oven
Plant area: assembly
Shift: night
Temperature C: 84.6
Vibration mm/s: 5.0
Pressure bar: 8.1
RPM: 1556
Noise dB: 85.3
Oil quality percent: 51.4
Hours since service: 259
Error code: TEMP-410
Technician note: machine recovers when the feed rate is lowered by the operator
Sensor summary: temperature rising under load","{""confidence"": 0.85, ""immediate_steps"": [""Reduce feed rate or duty cycle immediately."", ""Monitor temperature for the next 15 minutes."", ""Notify the shift lead if temperature does not trend down.""], ""maintenance_plan"": ""Inspect the cooling path and drive system after the machine stabilizes at a lower load."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Do not continue peak-load operation while the temperature trend is rising."", ""severity"": ""high""}",reduce_load,high
ollama-ex-04180,CNC-4180,CNC mill,line 1,night,119.8,11.8,13.0,2069,99.9,16.9,360,E-STOP-777,control panel shows a red alarm and production quality has failed,immediate stop required,"Machine CNC-4180 is a CNC mill in the line 1 area on the night shift. Sensors report temperature 119.8 C, vibration 11.8 mm/s, pressure 13.0 bar, rpm 2069, noise 99.9 dB, oil quality 16.9 percent, and 360 hours since service. Error code: E-STOP-777. Operator note: control panel shows a red alarm and production quality has failed. Summary: immediate stop required.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-4180
Machine type: CNC mill
Plant area: line 1
Shift: night
Temperature C: 119.8
Vibration mm/s: 11.8
Pressure bar: 13.0
RPM: 2069
Noise dB: 99.9
Oil quality percent: 16.9
Hours since service: 360
Error code: E-STOP-777
Technician note: control panel shows a red alarm and production quality has failed
Sensor summary: immediate stop required","{""confidence"": 0.93, ""immediate_steps"": [""Stop the machine immediately using the approved shutdown procedure."", ""Keep personnel clear of the asset."", ""Escalate to maintenance and safety leadership.""], ""maintenance_plan"": ""Lock out the machine, inspect the drive, bearings, cooling path, and controls, then approve restart only after corrective action."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""Multiple critical sensors exceeded safe operating thresholds."", ""safety_note"": ""Do not attempt to continue production under a critical alarm."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-03290,MIX-3290,mixing vessel,paint shop,afternoon,74.5,7.1,7.2,1097,90.2,25.8,403,BEARING-240,high-frequency vibration is strongest near the bearing housing,bearing lubrication needed,"Machine MIX-3290 is a mixing vessel in the paint shop area on the afternoon shift. Sensors report temperature 74.5 C, vibration 7.1 mm/s, pressure 7.2 bar, rpm 1097, noise 90.2 dB, oil quality 25.8 percent, and 403 hours since service. Error code: BEARING-240. Operator note: high-frequency vibration is strongest near the bearing housing. Summary: bearing lubrication needed.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MIX-3290
Machine type: mixing vessel
Plant area: paint shop
Shift: afternoon
Temperature C: 74.5
Vibration mm/s: 7.1
Pressure bar: 7.2
RPM: 1097
Noise dB: 90.2
Oil quality percent: 25.8
Hours since service: 403
Error code: BEARING-240
Technician note: high-frequency vibration is strongest near the bearing housing
Sensor summary: bearing lubrication needed","{""confidence"": 0.92, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The high vibration and low oil quality suggest bearing lubrication breakdown."", ""safety_note"": ""Stop the machine if vibration enters the critical band or if bearing temperature rises further."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-02983,WLD-2983,robotic welder,line 2,morning,79.5,3.4,2.9,1373,65.2,55.2,219,FILTER-420,operator reports reduced flow after the last material changeover,pressure drop around intake,"Machine WLD-2983 is a robotic welder in the line 2 area on the morning shift. Sensors report temperature 79.5 C, vibration 3.4 mm/s, pressure 2.9 bar, rpm 1373, noise 65.2 dB, oil quality 55.2 percent, and 219 hours since service. Error code: FILTER-420. Operator note: operator reports reduced flow after the last material changeover. Summary: pressure drop around intake.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: WLD-2983
Machine type: robotic welder
Plant area: line 2
Shift: morning
Temperature C: 79.5
Vibration mm/s: 3.4
Pressure bar: 2.9
RPM: 1373
Noise dB: 65.2
Oil quality percent: 55.2
Hours since service: 219
Error code: FILTER-420
Technician note: operator reports reduced flow after the last material changeover
Sensor summary: pressure drop around intake","{""confidence"": 0.89, ""immediate_steps"": [""Reduce throughput if product quality starts drifting."", ""Inspect the filter indicator and intake housing."", ""Prepare a replacement filter before the next batch.""], ""maintenance_plan"": ""Change the intake filter and review whether the service interval should be shortened for this material."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""The telemetry suggests the intake filter is limiting flow through the machine."", ""safety_note"": ""Depressurize the system before opening the filter housing."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-04004,CMP-4004,compressor,line 2,afternoon,120.0,11.9,12.8,2278,107.3,18.4,476,CRIT-900,critical alarm is active and the operator reports visible shaking,immediate stop required,"Machine CMP-4004 is a compressor in the line 2 area on the afternoon shift. Sensors report temperature 120.0 C, vibration 11.9 mm/s, pressure 12.8 bar, rpm 2278, noise 107.3 dB, oil quality 18.4 percent, and 476 hours since service. Error code: CRIT-900. Operator note: critical alarm is active and the operator reports visible shaking. Summary: immediate stop required.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-4004
Machine type: compressor
Plant area: line 2
Shift: afternoon
Temperature C: 120.0
Vibration mm/s: 11.9
Pressure bar: 12.8
RPM: 2278
Noise dB: 107.3
Oil quality percent: 18.4
Hours since service: 476
Error code: CRIT-900
Technician note: critical alarm is active and the operator reports visible shaking
Sensor summary: immediate stop required","{""confidence"": 0.98, ""immediate_steps"": [""Stop the machine immediately using the approved shutdown procedure."", ""Keep personnel clear of the asset."", ""Escalate to maintenance and safety leadership.""], ""maintenance_plan"": ""Perform a full maintenance inspection and root-cause review before any restart is authorized."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The telemetry shows a high-risk failure mode that requires immediate shutdown."", ""safety_note"": ""Do not attempt to continue production under a critical alarm."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-02989,MLD-2989,injection molder,quality lab,morning,72.4,3.2,3.9,1481,68.6,60.2,302,PRESS-190,inlet pressure is low and the filter indicator is near the red band,pressure drop around intake,"Machine MLD-2989 is an injection molder in the quality lab area on the morning shift. Sensors report temperature 72.4 C, vibration 3.2 mm/s, pressure 3.9 bar, rpm 1481, noise 68.6 dB, oil quality 60.2 percent, and 302 hours since service. Error code: PRESS-190. Operator note: inlet pressure is low and the filter indicator is near the red band. Summary: pressure drop around intake.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MLD-2989
Machine type: injection molder
Plant area: quality lab
Shift: morning
Temperature C: 72.4
Vibration mm/s: 3.2
Pressure bar: 3.9
RPM: 1481
Noise dB: 68.6
Oil quality percent: 60.2
Hours since service: 302
Error code: PRESS-190
Technician note: inlet pressure is low and the filter indicator is near the red band
Sensor summary: pressure drop around intake","{""confidence"": 0.93, ""immediate_steps"": [""Check upstream flow and pressure readings."", ""Confirm the filter part number."", ""Replace the filter at the next safe stop.""], ""maintenance_plan"": ""Replace the filter, inspect the housing seal, and verify that pressure returns to the normal range."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""The pressure drop is more consistent with filter restriction than a drive fault."", ""safety_note"": ""Do not bypass the filter interlock to keep production running."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-03396,CNV-3396,conveyor drive,line 1,morning,87.0,8.0,4.9,1540,91.1,41.5,410,LUBE-510,oil quality is low and bearing temperature is above normal,dry bearing signature,"Machine CNV-3396 is a conveyor drive in the line 1 area on the morning shift. Sensors report temperature 87.0 C, vibration 8.0 mm/s, pressure 4.9 bar, rpm 1540, noise 91.1 dB, oil quality 41.5 percent, and 410 hours since service. Error code: LUBE-510. Operator note: oil quality is low and bearing temperature is above normal. Summary: dry bearing signature.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNV-3396
Machine type: conveyor drive
Plant area: line 1
Shift: morning
Temperature C: 87.0
Vibration mm/s: 8.0
Pressure bar: 4.9
RPM: 1540
Noise dB: 91.1
Oil quality percent: 41.5
Hours since service: 410
Error code: LUBE-510
Technician note: oil quality is low and bearing temperature is above normal
Sensor summary: dry bearing signature","{""confidence"": 0.86, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-04783,CNC-4783,CNC mill,line 1,morning,119.5,11.2,12.8,2264,113.4,6.5,841,OVERHEAT-999,control panel shows a red alarm and production quality has failed,shutdown threshold exceeded,"Machine CNC-4783 is a CNC mill in the line 1 area on the morning shift. Sensors report temperature 119.5 C, vibration 11.2 mm/s, pressure 12.8 bar, rpm 2264, noise 113.4 dB, oil quality 6.5 percent, and 841 hours since service. Error code: OVERHEAT-999. Operator note: control panel shows a red alarm and production quality has failed. Summary: shutdown threshold exceeded.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-4783
Machine type: CNC mill
Plant area: line 1
Shift: morning
Temperature C: 119.5
Vibration mm/s: 11.2
Pressure bar: 12.8
RPM: 2264
Noise dB: 113.4
Oil quality percent: 6.5
Hours since service: 841
Error code: OVERHEAT-999
Technician note: control panel shows a red alarm and production quality has failed
Sensor summary: shutdown threshold exceeded","{""confidence"": 0.94, ""immediate_steps"": [""Initiate emergency shutdown."", ""Do not restart the machine."", ""Preserve the alarm state for maintenance investigation.""], ""maintenance_plan"": ""Lock out the machine, inspect the drive, bearings, cooling path, and controls, then approve restart only after corrective action."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The combination of overheat, severe vibration, and alarm code indicates an unsafe condition."", ""safety_note"": ""Restart requires formal maintenance clearance and standard lockout/tagout controls."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-00574,PRS-0574,hydraulic press,paint shop,night,64.3,1.8,6.6,1302,60.0,89.7,54,OK,machine completed the previous batch without intervention,normal production behavior,"Machine PRS-0574 is a hydraulic press in the paint shop area on the night shift. Sensors report temperature 64.3 C, vibration 1.8 mm/s, pressure 6.6 bar, rpm 1302, noise 60.0 dB, oil quality 89.7 percent, and 54 hours since service. Error code: OK. Operator note: machine completed the previous batch without intervention. Summary: normal production behavior.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PRS-0574
Machine type: hydraulic press
Plant area: paint shop
Shift: night
Temperature C: 64.3
Vibration mm/s: 1.8
Pressure bar: 6.6
RPM: 1302
Noise dB: 60.0
Oil quality percent: 89.7
Hours since service: 54
Error code: OK
Technician note: machine completed the previous batch without intervention
Sensor summary: normal production behavior","{""confidence"": 0.84, ""immediate_steps"": [""Keep current load settings."", ""Confirm product quality at the normal sampling interval."", ""Escalate only if a new warning code appears.""], ""maintenance_plan"": ""Continue standard monitoring and perform the next planned service on schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""No fault pattern is visible in the current telemetry."", ""safety_note"": ""Maintain normal guarding and lockout procedures during routine service."", ""severity"": ""low""}",normal_operation,low
ollama-ex-02118,CNC-2118,CNC mill,quality lab,night,96.0,3.5,7.8,1737,75.2,55.5,179,TEMP-410,machine recovers when the feed rate is lowered by the operator,high load condition,"Machine CNC-2118 is a CNC mill in the quality lab area on the night shift. Sensors report temperature 96.0 C, vibration 3.5 mm/s, pressure 7.8 bar, rpm 1737, noise 75.2 dB, oil quality 55.5 percent, and 179 hours since service. Error code: TEMP-410. Operator note: machine recovers when the feed rate is lowered by the operator. Summary: high load condition.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-2118
Machine type: CNC mill
Plant area: quality lab
Shift: night
Temperature C: 96.0
Vibration mm/s: 3.5
Pressure bar: 7.8
RPM: 1737
Noise dB: 75.2
Oil quality percent: 55.5
Hours since service: 179
Error code: TEMP-410
Technician note: machine recovers when the feed rate is lowered by the operator
Sensor summary: high load condition","{""confidence"": 0.86, ""immediate_steps"": [""Lower machine load by 20 percent."", ""Check cooling airflow and drive current."", ""Pause continuous batches if the warning repeats.""], ""maintenance_plan"": ""Inspect the cooling path and drive system after the machine stabilizes at a lower load."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The machine is likely being pushed beyond a safe continuous operating load."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
